UUID,TC,IMPORTE,IVA,RET ISR,RET IVA,TOTAL MX,TOTAL SAT
54D52EFC-8714-4B2F-A5DE-3B6CE83B7DC3,1.0,740.0,118.4,0.0,0.0,858.4,858.4
21E08C1C-ACDF-B344-881F-83C738B92232,1.0,580.0,92.8,0.0,0.0,672.8,672.8
BEA66AE5-1A4A-5647-8F66-D235A1CB9A82,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9AF01D79-C8E7-469C-B491-BDE901623DFA,1.0,331.54,53.05,0.0,0.0,384.59000000000003,384.59
F051AF1C-0B00-46F5-B806-BB892D857BC1,1.0,15.09,2.41,0.0,0.0,17.5,17.5
57FEC724-BC72-4F49-94CB-4E66A4EFCE22,1.0,0.0,0.0,0.0,0.0,0.0,0.0
F9663EFA-4AE2-44D3-9289-7F3573C93DBE,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0035E6B5-D9FE-4803-91AF-BBB75E613499,1.0,1800.0,288.0,0.0,0.0,2088.0,2088.0
AF100CFD-3773-4883-BB83-D684289F6A0D,1.0,1304.22,208.68,0.0,0.0,1512.9,1512.9
DFF4BC1D-1775-48A1-9902-0E32030730DB,1.0,432.85,67.15,0.0,0.0,500.0,500.0
B4E486C4-C0C5-4F91-ADC5-F4C79738C1BC,1.0,5000.0,800.0,0.0,0.0,4766.66,4766.66
9DE1E029-C338-4BF1-A287-C5416C5B2D4F,1.0,250.0,40.0,0.0,0.0,290.0,290.0
ABD0A2BE-9515-4F9B-934F-687D5BAA9644,1.0,465.82,74.53,0.0,0.0,540.35,540.35
15B0DF02-734C-49C7-9116-9DC575166726,1.0,1311.75,209.88,0.0,0.0,1521.63,1521.63
D93B7B64-93E7-4E8A-A8EE-D6751E923D1E,1.0,230.0,36.8,0.0,0.0,266.8,266.8
6C7F7C59-91A4-4575-88FD-1D7FF9283386,1.0,0.0,0.0,0.0,0.0,0.0,0.0
